accuracy,loss,val_accuracy,val_loss,epoch,test_loss
0.9841486811637878,0.06194774806499481,1.0,0.00046573494910262525,0.0,
0.9956797957420349,0.01603836752474308,1.0,0.0001866772654466331,1.0,
1.0,7.952196756377816e-05,1.0,7.187994197010994e-05,2.0,
1.0,3.490539165795781e-05,1.0,3.8084697735030204e-05,3.0,
1.0,1.8676977560971864e-05,1.0,2.2039537725504488e-05,4.0,
1.0,1.0835374268935993e-05,1.0,1.3388366824074183e-05,5.0,
1.0,6.383463642123388e-06,1.0,8.570274076191708e-06,6.0,
1.0,3.842586011160165e-06,1.0,5.868223070137901e-06,7.0,
1.0,2.398624474153621e-06,1.0,3.568532747522113e-06,8.0,
1.0,1.4548302260664059e-06,1.0,3.121667077721213e-06,9.0,
1.0,9.403249805473024e-07,1.0,2.1044675122539047e-06,10.0,
1.0,5.905133662054141e-07,1.0,8.735041205909511e-07,11.0,
1.0,3.342080674428871e-07,1.0,5.692089075637341e-07,12.0,
1.0,2.0786551147011778e-07,1.0,3.5676336551659915e-07,13.0,
1.0,1.2863424103670695e-07,1.0,2.3690705575063475e-07,14.0,
1.0,7.561141757150835e-08,1.0,1.8951580216253205e-07,15.0,
1.0,4.800172348495835e-08,1.0,1.0909845826745368e-07,16.0,
1.0,3.0684589091833914e-08,1.0,5.162161542671129e-08,17.0,
1.0,1.6112936762624486e-08,1.0,3.783753754760255e-08,18.0,
0.994726836681366,0.03947839140892029,0.9998729228973389,0.0005273455753922462,19.0,
1.0,8.110693306662142e-05,1.0,6.652327283518389e-05,20.0,
1.0,1.6420330211985856e-05,1.0,8.98833095561713e-05,21.0,
1.0,9.262151252187323e-06,1.0,3.8538611988769844e-05,22.0,
1.0,5.380353741202271e-06,1.0,1.3936932191427331e-05,23.0,
1.0,3.1680190204497194e-06,1.0,8.129421985358931e-06,24.0,
1.0,1.9033617491004406e-06,1.0,3.991126050095772e-06,25.0,
1.0,1.20186155072588e-06,1.0,2.550355020503048e-06,26.0,
1.0,7.776242796353472e-07,1.0,1.472279109293595e-06,27.0,
1.0,4.923568326375971e-07,1.0,1.0548761792961159e-06,28.0,
1.0,3.223733529011952e-07,1.0,5.799160476271936e-07,29.0,
1.0,2.0151502155840717e-07,1.0,4.5115922375771333e-07,30.0,
