loss,accuracy,val_loss,val_accuracy,epoch,signal
0.060483407229185104,0.9848427772521973,0.00017314645810984075,1.0,0.0,
6.399302219506353e-05,1.0,4.392064511193894e-05,1.0,1.0,
1.977377360162791e-05,1.0,1.742870699672494e-05,1.0,2.0,
8.427669854427222e-06,1.0,8.260491085820831e-06,1.0,3.0,
4.1153825804940425e-06,1.0,4.380323844088707e-06,1.0,4.0,
2.138413719876553e-06,1.0,2.345750544918701e-06,1.0,5.0,
1.1596687272685813e-06,1.0,1.3410004839897738e-06,1.0,6.0,
6.486593520094175e-07,1.0,7.773619472573046e-07,1.0,7.0,
3.660586003206845e-07,1.0,4.559634021461534e-07,1.0,8.0,
2.0849252280186192e-07,1.0,2.6410461373416183e-07,1.0,9.0,
,,,,,"[2.087149795215737e-07, 1.0]"
